Employee_ID,Hours_worked,Salary
N0001,12,120000
N0002,13,130000
N0003,14,140000
N0004,15,150000
N0005,16,160000
N0006,17,170000
N0007,18,180000
N0008,19,190000
N0009,20,200000
N0010,21,210000
P0001,22,220000
P0002,23,230000
C0001,24,240000
C0002,25,250000
C0003,26,260000
C0004,27,270000
C0005,28,280000
A0001,29,290000
A0002,30,300000
A0003,31,310000
A0004,32,320000
A0005,33,330000
A0006,34,340000
A0007,35,350000
A0008,36,360000
A0009,37,370000
N0011,37,370000
N0012,37,370000
N0013,37,370000
N0014,37,370000
N0015,37,370000
N0016,37,370000
N0017,37,370000
N0018,37,370000
N0019,37,370000
N0020,37,370000
N0021,37,370000
N0022,37,370000
N0023,37,370000
N0024,37,370000
N0025,37,370000
